Date	app	Campaign	os	spend	Installs	cpi
2019-02-11	auto	MSK_SPB	android	492.8700000000001	4.0	123.21750000000003
2019-02-11	auto	MSK_SPB	ios	132.42	2.0	66.21
2019-02-11	auto	RU	android	13677.699999999999	187.0	73.1427807486631
2019-02-11	auto	RU	ios	1632.3799999999999	21.0	77.73238095238095
2019-02-11	auto	RU	macos	0.0	0.0	0.0
2019-02-11	auto	RU	server	8227.13	0.0	0.0
2019-02-11	auto	RU	windows	0.0	0.0	0.0
2019-02-11	auto	RU_comm	android	0.0	0.0	0.0
2019-02-11	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-11	auto	SPB	android	251.29	4.0	62.8225
2019-02-11	auto	SPB	ios	35.67000000000001	0.0	0.0
2019-02-11	auto	SPB	windows	0.0	0.0	0.0
2019-02-11	real	MSK	android	3581.049999999998	70.0	51.15785714285711
2019-02-11	real	MSK	server	1518.2299999999998	0.0	0.0
2019-02-11	real	MSK	windows	0.0	0.0	0.0
2019-02-11	real	SPB	android	12540.300000000003	90.0	139.3366666666667
2019-02-11	real	SPB	ios	0.0	0.0	0.0
2019-02-11	real	SPB	macos	0.0	0.0	0.0
2019-02-11	real	SPB	server	9734.84	0.0	0.0
2019-02-12	auto	MSK_SPB	android	529.9	6.0	88.31666666666666
2019-02-12	auto	MSK_SPB	ios	60.6	1.0	60.6
2019-02-12	auto	RU	android	18405.639999999992	221.0	83.28343891402712
2019-02-12	auto	RU	ios	1220.8399999999997	13.0	93.9107692307692
2019-02-12	auto	RU	server	10638.069999999996	0.0	0.0
2019-02-12	auto	RU	unknown	0.0	0.0	0.0
2019-02-12	auto	RU	windows	648.4000000000001	0.0	0.0
2019-02-12	auto	RU_comm	android	0.0	0.0	0.0
2019-02-12	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-12	auto	SPB	android	306.23	4.0	76.5575
2019-02-12	auto	SPB	ios	28.7	0.0	0.0
2019-02-12	real	MSK	android	8016.200000000003	110.0	72.87454545454548
2019-02-12	real	MSK	server	4743.3200000000015	0.0	0.0
2019-02-12	real	MSK	windows	0.0	0.0	0.0
2019-02-12	real	SPB	android	17792.600000000002	132.0	134.79242424242426
2019-02-12	real	SPB	server	14361.06	0.0	0.0
2019-02-12	real	SPB	windows	2.97	0.0	0.0
2019-02-13	auto	MSK_SPB	android	797.6600000000001	7.0	113.95142857142858
2019-02-13	auto	MSK_SPB	ios	143.89	0.0	0.0
2019-02-13	auto	MSK_SPB	server	457.65999999999997	0.0	0.0
2019-02-13	auto	RU	android	64017.969999999994	583.0	109.80783876500857
2019-02-13	auto	RU	ios	2938.4400000000005	14.0	209.88857142857145
2019-02-13	auto	RU	linux	1011.01	0.0	0.0
2019-02-13	auto	RU	server	59782.27999999999	0.0	0.0
2019-02-13	auto	RU	windows	337.0	0.0	0.0
2019-02-13	auto	RU_comm	android	0.0	0.0	0.0
2019-02-13	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-13	auto	SPB	android	494.2900000000001	6.0	82.38166666666667
2019-02-13	auto	SPB	ios	59.279999999999994	0.0	0.0
2019-02-13	auto	SPB	server	5.67	0.0	0.0
2019-02-13	real	MSK	android	9873.609999999997	120.0	82.28008333333331
2019-02-13	real	MSK	server	5760.160000000002	0.0	0.0
2019-02-13	real	SPB	android	22073.979999999996	152.0	145.2235526315789
2019-02-13	real	SPB	server	18655.840000000004	0.0	0.0
2019-02-14	auto	MSK_SPB	android	578.1200000000001	4.0	144.53000000000003
2019-02-14	auto	MSK_SPB	ios	380.01000000000005	5.0	76.00200000000001
2019-02-14	auto	MSK_SPB	server	162.61999999999998	0.0	0.0
2019-02-14	auto	RU	android	18783.450000000004	242.0	77.61756198347109
2019-02-14	auto	RU	ios	7347.5999999999985	39.0	188.39999999999995
2019-02-14	auto	RU	server	13472.940000000002	0.0	0.0
2019-02-14	auto	RU	windows	338.16999999999996	0.0	0.0
2019-02-14	auto	RU_comm	android	0.0	0.0	0.0
2019-02-14	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-14	auto	SPB	android	189.73999999999998	1.0	189.73999999999998
2019-02-14	auto	SPB	ios	104.13000000000001	1.0	104.13000000000001
2019-02-14	auto	SPB	server	13.01	0.0	0.0
2019-02-14	real	MSK	android	4454.05	46.0	96.82717391304348
2019-02-14	real	MSK	server	2111.21	0.0	0.0
2019-02-14	real	MSK	windows	0.0	0.0	0.0
2019-02-14	real	SPB	android	10248.930000000002	77.0	133.10298701298703
2019-02-14	real	SPB	server	8165.940000000001	0.0	0.0
2019-02-15	auto	MSK_SPB	android	778.4299999999998	8.0	97.30374999999998
2019-02-15	auto	MSK_SPB	ios	592.2500000000001	6.0	98.70833333333336
2019-02-15	auto	MSK_SPB	server	112.16000000000001	0.0	0.0
2019-02-15	auto	RU	android	51422.06	522.0	98.50969348659004
2019-02-15	auto	RU	ios	8336.599999999999	50.0	166.73199999999997
2019-02-15	auto	RU	server	46527.33999999999	0.0	0.0
2019-02-15	auto	RU	windows	180.0	0.0	0.0
2019-02-15	auto	RU_comm	android	0.0	0.0	0.0
2019-02-15	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-15	auto	SPB	android	805.96	6.0	134.32666666666668
2019-02-15	auto	SPB	ios	122.1	1.0	122.1
2019-02-15	auto	SPB	server	610.1899999999999	0.0	0.0
2019-02-15	real	MSK	android	10370.14	95.0	109.15936842105262
2019-02-15	real	MSK	server	7775.55	0.0	0.0
2019-02-15	real	MSK	windows	1065.8	0.0	0.0
2019-02-15	real	SPB	android	11713.159999999996	73.0	160.4542465753424
2019-02-15	real	SPB	server	7968.92	0.0	0.0
2019-02-15	real	SPB	windows	54.41	0.0	0.0
2019-02-16	auto	MSK_SPB	android	1185.7099999999998	12.0	98.80916666666666
2019-02-16	auto	MSK_SPB	ios	222.85000000000002	2.0	111.42500000000001
2019-02-16	auto	MSK_SPB	server	232.43	0.0	0.0
2019-02-16	auto	RU	android	31800.519999999997	345.0	92.17542028985507
2019-02-16	auto	RU	ios	2775.6400000000003	24.0	115.65166666666669
2019-02-16	auto	RU	server	25496.129999999997	0.0	0.0
2019-02-16	auto	RU	windows	0.0	0.0	0.0
2019-02-16	auto	RU_comm	android	0.0	0.0	0.0
2019-02-16	auto	RU_comm	ios	0.0	0.0	0.0
2019-02-16	auto	SPB	android	306.71	3.0	102.23666666666666
2019-02-16	auto	SPB	ios	157.28	2.0	78.64
2019-02-16	auto	SPB	server	200.54000000000002	0.0	0.0
2019-02-16	real	MSK	android	5114.170000000002	62.0	82.48661290322583
2019-02-16	real	MSK	server	906.6699999999998	0.0	0.0
2019-02-16	real	MSK	windows	0.0	0.0	0.0
